"case","period","daynight","mode","hours","percentExpected"
"base","2026-04","day","PAD_INEFFECTIVE_DEHU_NEEDED","7","1.9444444444444444"
"base","2026-04","all","PAD_MARGINAL","1","0.1388888888888889"
"base","2026-04","night","PAD_MARGINAL","1","0.2777777777777778"
"base","2026-04","all","MISSING_DATA","4","0.5555555555555556"
"base","2026-04","night","MISSING_DATA","4","1.1111111111111112"
"base","2026-04","all","HEAT_MAJOR_VENT_DRY","234","32.5"
"base","2026-04","night","HEAT_MAJOR_VENT_DRY","122","33.888888888888886"
"base","2026-04","day","HEAT_MAJOR_VENT_DRY","112","31.11111111111111"
"base","2026-04","all","ACTIVE_HUMIDIFICATION_LIKELY","15","2.0833333333333335"
"base","2026-04","night","ACTIVE_HUMIDIFICATION_LIKELY","15","4.166666666666667"
"base","2026-04","night","PASSIVE_VENT_COOL_DRY","8","2.2222222222222223"
"base","2026-04","all","PAD_EFFECTIVE","10","1.3888888888888888"
"base","2026-04","night","PAD_EFFECTIVE","10","2.7777777777777777"
"base","2026-04","night","PASSIVE_HUMIDIFY_OPPORTUNITY","12","3.3333333333333335"
"base","2026-04","all","HEAT_MIN_VENT","37","5.138888888888889"
"base","2026-04","day","HEAT_MIN_VENT","14","3.888888888888889"
"base","2026-04","night","PASSIVE_VENT_COOL_HUMID","2","0.5555555555555556"
"base","all","night","HEAT_VENT_HUMID","24","0.7889546351084813"
"base","2026-04","night","HEAT_VENT_HUMID","15","4.166666666666667"
"base","2026-04","night","HEAT_MIN_VENT","23","6.388888888888889"
"base","2026-05","all","HEAT_MAJOR_VENT_DRY","175","23.521505376344088"
"base","2026-05","night","HEAT_MAJOR_VENT_DRY","78","20.967741935483872"
"base","2026-05","day","HEAT_MAJOR_VENT_DRY","97","26.0752688172043"
"base","2026-05","all","PASSIVE_VENT_COOL_DRY","53","7.123655913978495"
"base","2026-05","day","PASSIVE_VENT_COOL_DRY","45","12.096774193548388"
"base","2026-05","all","ACTIVE_HUMIDIFICATION_LIKELY","29","3.8978494623655915"
"base","2026-05","night","ACTIVE_HUMIDIFICATION_LIKELY","7","1.881720430107527"
"base","2026-05","night","PASSIVE_VENT_COOL_DRY","8","2.150537634408602"
"base","2026-05","all","NEUTRAL_MIN_VENT","102","13.709677419354838"
"base","2026-05","day","NEUTRAL_MIN_VENT","58","15.591397849462366"
"base","2026-05","day","ACTIVE_HUMIDIFICATION_LIKELY","22","5.913978494623656"
"base","2026-05","all","PAD_EFFECTIVE","23","3.0913978494623655"
"base","2026-05","day","PAD_EFFECTIVE","2","0.5376344086021505"
"base","2026-05","night","PAD_EFFECTIVE","21","5.645161290322581"
"base","2026-05","all","PASSIVE_HUMIDIFY_OPPORTUNITY","46","6.182795698924731"
"base","2026-05","night","PASSIVE_HUMIDIFY_OPPORTUNITY","29","7.795698924731183"
"base","2026-05","day","PASSIVE_HUMIDIFY_OPPORTUNITY","17","4.56989247311828"
"base","2026-05","all","PAD_INEFFECTIVE_DEHU_NEEDED","179","24.059139784946236"
"base","2026-05","night","PAD_INEFFECTIVE_DEHU_NEEDED","140","37.634408602150536"
"base","2026-05","night","NEUTRAL_MIN_VENT","44","11.827956989247312"
"base","2026-05","all","HEAT_MIN_VENT","39","5.241935483870968"
"base","2026-05","day","HEAT_MIN_VENT","12","3.225806451612903"
"base","2026-05","all","PASSIVE_VENT_COOL_HUMID","65","8.736559139784946"
"base","2026-05","night","PASSIVE_VENT_COOL_HUMID","7","1.881720430107527"
"base","2026-05","all","HEAT_VENT_HUMID","31","4.166666666666667"
"base","2026-05","night","HEAT_VENT_HUMID","9","2.4193548387096775"
"base","2026-05","night","HEAT_MIN_VENT","27","7.258064516129032"
"base","2026-05","day","PASSIVE_VENT_COOL_HUMID","58","15.591397849462366"
"base","2026-05","day","PAD_INEFFECTIVE_DEHU_NEEDED","39","10.483870967741936"
"base","2026-05","all","MISSING_DATA","2","0.26881720430107525"
"base","2026-05","night","MISSING_DATA","2","0.5376344086021505"
"base","2026-05","day","HEAT_VENT_HUMID","22","5.913978494623656"
"base","2026-06","all","PAD_INEFFECTIVE_DEHU_NEEDED","439","60.97222222222222"
"base","2026-06","night","PAD_INEFFECTIVE_DEHU_NEEDED","318","88.33333333333333"
"base","2026-06","all","PASSIVE_VENT_COOL_HUMID","122","16.944444444444443"
"base","2026-06","day","PASSIVE_VENT_COOL_HUMID","122","33.888888888888886"
"base","2026-06","all","NEUTRAL_MIN_VENT","125","17.36111111111111"
"base","2026-06","day","NEUTRAL_MIN_VENT","90","25"
"base","2026-06","day","PAD_INEFFECTIVE_DEHU_NEEDED","121","33.611111111111114"
"base","2026-06","night","NEUTRAL_MIN_VENT","35","9.722222222222221"
"base","2026-06","all","PASSIVE_VENT_COOL_DRY","10","1.3888888888888888"
"base","2026-06","day","PASSIVE_VENT_COOL_DRY","10","2.7777777777777777"
"base","2026-06","all","PASSIVE_HUMIDIFY_OPPORTUNITY","19","2.638888888888889"
"base","2026-06","day","PASSIVE_HUMIDIFY_OPPORTUNITY","12","3.3333333333333335"
"base","2026-06","all","HEAT_VENT_HUMID","3","0.4166666666666667"
"base","2026-06","day","HEAT_VENT_HUMID","3","0.8333333333333334"
"base","2026-06","all","ACTIVE_HUMIDIFICATION_LIKELY","2","0.2777777777777778"
"base","2026-06","day","ACTIVE_HUMIDIFICATION_LIKELY","2","0.5555555555555556"
"base","2026-06","night","PASSIVE_HUMIDIFY_OPPORTUNITY","7","1.9444444444444444"
"base","2026-07","all","PAD_INEFFECTIVE_DEHU_NEEDED","621","83.46774193548387"
"base","2026-07","night","PAD_INEFFECTIVE_DEHU_NEEDED","370","99.46236559139786"
"base","2026-07","all","PASSIVE_VENT_COOL_HUMID","34","4.56989247311828"
"base","2026-07","day","PASSIVE_VENT_COOL_HUMID","34","9.13978494623656"
"base","2026-07","all","NEUTRAL_MIN_VENT","87","11.693548387096774"
"base","2026-07","day","NEUTRAL_MIN_VENT","85","22.849462365591396"
"base","2026-07","day","PAD_INEFFECTIVE_DEHU_NEEDED","251","67.47311827956989"
"base","2026-07","night","NEUTRAL_MIN_VENT","2","0.5376344086021505"
"base","2026-07","all","MISSING_DATA","2","0.26881720430107525"
"base","2026-07","day","MISSING_DATA","2","0.5376344086021505"
"base","2026-08","all","PAD_INEFFECTIVE_DEHU_NEEDED","633","85.08064516129032"
"base","2026-08","night","PAD_INEFFECTIVE_DEHU_NEEDED","365","98.11827956989248"
"base","2026-08","all","PASSIVE_VENT_COOL_DRY","4","0.5376344086021505"
"base","2026-08","day","PASSIVE_VENT_COOL_DRY","4","1.075268817204301"
"base","2026-08","all","PASSIVE_HUMIDIFY_OPPORTUNITY","10","1.3440860215053763"
"base","2026-08","day","PASSIVE_HUMIDIFY_OPPORTUNITY","6","1.6129032258064515"
"base","2026-08","day","PAD_INEFFECTIVE_DEHU_NEEDED","268","72.04301075268818"
"base","2026-08","all","NEUTRAL_MIN_VENT","54","7.258064516129032"
"base","2026-08","night","NEUTRAL_MIN_VENT","3","0.8064516129032258"
"base","2026-08","all","PASSIVE_VENT_COOL_HUMID","42","5.645161290322581"
"base","2026-08","day","PASSIVE_VENT_COOL_HUMID","42","11.290322580645162"
"base","2026-08","day","NEUTRAL_MIN_VENT","51","13.709677419354838"
"base","2026-08","night","PASSIVE_HUMIDIFY_OPPORTUNITY","4","1.075268817204301"
"base","2026-08","all","HEAT_MIN_VENT","1","0.13440860215053763"
"base","2026-08","day","HEAT_MIN_VENT","1","0.26881720430107525"
"base","2026-09","all","PAD_INEFFECTIVE_DEHU_NEEDED","214","83.59375"
"base","2026-09","night","PAD_INEFFECTIVE_DEHU_NEEDED","124","97.63779527559055"
"base","2026-09","all","NEUTRAL_MIN_VENT","24","9.375"
"base","2026-09","day","NEUTRAL_MIN_VENT","22","17.05426356589147"
"base","2026-09","day","PAD_INEFFECTIVE_DEHU_NEEDED","90","69.76744186046511"
"base","2026-09","all","PASSIVE_VENT_COOL_HUMID","17","6.640625"
"base","2026-09","day","PASSIVE_VENT_COOL_HUMID","17","13.178294573643411"
"base","2026-09","all","MISSING_DATA","1","0.390625"
"base","2026-09","night","MISSING_DATA","1","0.7874015748031497"
